date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:20	16193/16193	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2019:54:51%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/index.html	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/index.html	(from )
12:36:21	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Jun%202021%2007:06:20%20GMT	http://duruthemes.com/robots.txt		(from )
12:36:22	18808/18808	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Apr%202021%2019:38:58%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/favicon.png	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/favicon.png	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:22	71552/71552	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2019:38:39%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/css/animate.css	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/css/animate.css	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:22	16402/16402	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2019:38:39%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/css/themify-icons.css	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/css/themify-icons.css	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:23	140936/140936	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2019:38:38%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/css/bootstrap.css	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/css/bootstrap.css	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:23	6864/6864	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2019:38:38%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/css/flexslider.css	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/css/flexslider.css	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:23	12795/12795	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2019:38:38%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/css/fancybox.min.css	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/css/fancybox.min.css	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:24	47020/47020	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Apr%202021%2019:38:39%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/css/style.css	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/css/style.css	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:24	8174/8174	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2019:55:10%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/about.html	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/about.html	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:24	16771/16771	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2023:40:45%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/services.html	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/services.html	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:25	14297/14297	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2019:54:54%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/gallery.html	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/gallery.html	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:25	13536/13536	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2019:54:58%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/feedback.html	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/feedback.html	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:25	8915/8915	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2019:55:06%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/blog.html	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/blog.html	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:26	7009/7009	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2019:55:02%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/contact.html	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/contact.html	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:26	17478/17478	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Apr%202021%2019:38:59%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/logo.png	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/logo.png	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:28	8700/8700	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Apr%202021%2019:54:41%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/services-post.html	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/services-post.html	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:31	25188/25188	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:37%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/services/1.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/services/1.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:36	28783/28783	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:37%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/services/3.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/services/3.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:41	81767/81767	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:37%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/services/2.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/services/2.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:36:44	13575/13575	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Apr%202021%2019:38:59%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/sign-gray.png	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/sign-gray.png	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
